NUM     DATE      ADV      DEC    UNCHG   ADVVOL       DECVOL
00326 930914  679.000 1329.000  604.000 7908.000      14753        0
00327 930915  964.000  986.000  669.000 14045.000      11515        0
00328 930916  934.000  990.000  678.000 7969.000      11119        0
00329 930917  962.000  955.000  700.000 15363.000      16800        0
00330 930920  866.000 1119.000  638.000 7626.000      12505        0
00331 930921  600.000 1464.000  574.000 8619.000      17725        0
00332 930922 1337.000  665.000  626.000 18031.000       6554        0
00333 930923 1121.000  889.000  623.000 16072.000       8328        0
00334 930924 1014.000  950.000  653.000 12002.000       9622        0
00335 930927 1308.000  727.000  608.000 15311.000       5984        0
00336 930928 1082.000  926.000  638.000 11954.000       9388        0
00337 930929  998.000 1006.000  629.000 11969.000      13015        0
00338 930930 1130.000  866.000  636.000 11862.000      13017        0
00339 931001 1102.000  886.000  635.000 14639.000       8264        0
00340 931004 1149.000  878.000  618.000 11787.000       8272        0
00341 931005 1010.000 1001.000  609.000 12339.000      12910        0
00342 931006 1121.000  876.000  646.000 13094.000      11052        0
00343 931007  851.000 1103.000  676.000 8313.000      12862        0
00344 931008 1109.000  850.000  664.000 12217.000       8362        0
00345 931011 1029.000  943.000  661.000 8955.000       5977        0
00346 931012 1081.000  937.000  628.000 13930.000       8394        0
00347 931013  953.000 1004.000  671.000 14541.000      11317        0
00348 931014 1162.000  913.000  569.000 20595.000      11522        0
00349 931015 1200.000  808.000  616.000 20558.000      11021        0
00350 931018 1021.000 1048.000  607.000 14072.000      15624        0
00351 931019  774.000 1228.000  661.000 8864.000      17120        0
00352 931020  920.000 1112.000  629.000 13273.000      13949        0
00353 931021  956.000 1079.000  619.000 13184.000      12526        0
00354 931022  984.000 1042.000  619.000 13797.000      13469        0
00355 931025  929.000 1085.000  633.000 10993.000      10992        0
00356 931026  890.000 1131.000  644.000 11629.000      12728        0
00357 931027 1031.000  971.000  660.000 12726.000      10636        0
00358 931028 1164.000  869.000  633.000 17090.000       8518        0
00359 931029 1198.000  813.000  656.000 13900.000       9160        0
